,Unnamed: 0,questions,id,questions_preproc
0,0,"Quelle est la signification du terme ""véhicule à moteur""?",0,quel signification terme véhicule moteur
1,1,"Que signifie le terme ""véhicule à moteur"" en français?",0,signifier terme véhicule moteur français
2,2,Quel est le terme utilisé pour désigner les véhicules à moteur?,0,quel terme utiliser désigner véhiculer moteur
3,3,"Que signifie le terme ""véhicule à moteur""?",0,signifier terme véhicule moteur
4,4,Qu'est-ce qui distingue les voies du domaine public routier national?,1,distinguer voie domaine public routier national
5,5,Qu'est-ce qui distingue les autoroutes du domaine public routier national?,1,distinguer autoroute domaine public routier national
6,6,Qu'est-ce qui est réservé aux véhicules à propulsion mécanique?,1,réservé véhiculer propulsion mécanique
7,7,Qu'est-ce que les collectivités propriétaires des voies classées comme routes à grande circulation communiquent avant leur mise en oeuvre?,2,collectivité propriétaire voie classé comme route grand circulation communiquer avant miser oeuvrer
8,8,Qu'est-ce que les collectivités et groupements propriétaires des voies classées comme routes à grande circulation?,2,collectivité groupement propriétaire voie classé comme route grand circulation
9,9,Qu'est-ce que les collectivités propriétaires des voies classées comme routes à grande circulation?,2,collectivité propriétaire voie classé comme route grand circulation
10,10,Qu'est-ce qui peut rendre les routes impropres à leur destination?,2,pouvoir rendre route impropre destination
11,11,Quelles mesures peuvent rendre les routes impropres à leur destination?,2,quel mesure pouvoir rendre route impropre destination
12,12,Qu'est-ce qui est à la charge du conducteur si celui-ci est cité à l audience?,3,charge conducteur si celui ci cité audience
13,13,Qu'est-ce qui est à la charge du conducteur lorsqu'il est en qualité de préposé?,3,charge conducteur lorsqu qualité préposé
14,14,Qu'est-ce qui est à charge du conducteur lorsqu'il agit en qualité de préposé?,3,charge conducteur lorsqu agir qualité préposé
15,15,A qui incombe la responsabilité pécuniaire lorsque le certificat d'immatriculation du véhicule est établi au nom d'une personne morale?,4,incomber responsabilité pécuniaire lorsque certificat immatriculation véhicule établi nom personne morale
16,16,À qui incombe la responsabilité pécuniaire lorsque le certificat d'immatriculation du véhicule est établi au nom d'une personne morale?,4,incomber responsabilité pécuniaire lorsque certificat immatriculation véhicule établi nom personne morale
17,17,A qui incombe la responsabilité pécuniaire lorsque le certificat d'immatriculation du véhicule est établi au nom d une personne morale?,4,incomber responsabilité pécuniaire lorsque certificat immatriculation véhicule établi nom personne morale
18,18,"Quand le certificat d'immatriculation du véhicule est établi au nom d'une personne, comment s'appelle-t-il?",5,quand certificat immatriculation véhicule établi nom personne comment appeler
19,19,Comment s'appelle le nom du titulaire du certificat d'immatriculation du véhicule?,5,comment appeler nom titulaire certificat immatriculation véhicule
20,20,Quand le certificat d'immatriculation du véhicule est établi au nom de qui?,5,quand certificat immatriculation véhicule établi nom
21,21,Quel est le nom du titulaire du certificat d'immatriculation du véhicule?,5,quel nom titulaire certificat immatriculation véhicule
22,22,Quel est le nom du titulaire du certificat d immatriculation du véhicule?,5,quel nom titulaire certificat immatriculation véhicule
23,23,Qu est-ce qui peut être mis en fourrière si aucune des garanties n est fournie par l'auteur de l'infraction?,6,pouvoir être mettre fourrière si aucun garantie fourni auteur infraction
24,24,Qu est-ce qui peut être mis en fourrière si aucune des garanties n est donnée par l'auteur de l'infraction?,6,pouvoir être mettre fourrière si aucun garantie donner auteur infraction
25,25,Qu est-ce qui peut être mis en fourrière si une caution n est pas fournie par l'auteur de l'infraction?,6,pouvoir être mettre fourrière si caution fourni auteur infraction
26,26,Que se passe-t-il si le véhicule conduit par un préposé du titulaire du certificat d immatriculation ou par le représentant de ce titulaire s,7,passe si véhicule conduit préposé titulaire certificat immatriculation représentant titulaire
27,27,Que se passe-t-il si le véhicule conduit par un préposé du titulaire du certificat d immatriculation ou par un représentant de ce titulaire s,7,passe si véhicule conduit préposé titulaire certificat immatriculation représentant titulaire
28,28,Que se passe-t-il si le véhicule conduit par un préposé du titulaire du certificat d'immatriculation ou par le représentant de ce titulaire s,7,passe si véhicule conduit préposé titulaire certificat immatriculation représentant titulaire
29,29,Que se passe-t-il si le véhicule conduit par un préposé du titulaire du certificat d' immatriculation ou par le représentant de ce titulaire,7,passe si véhicule conduit préposé titulaire certificat immatriculation représentant titulaire
